Columns,InstanceNumber,Rows,SequenceName,SeriesNumber,SliceLocation,path
512,45,416,*fl3d2,51,-759.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-45-x7zcfq.dcm
512,46,416,*fl3d2,51,-754.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-46-x7zcfr.dcm
512,47,416,*fl3d2,51,-749.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-47-x7zcfs.dcm
512,48,416,*fl3d2,51,-744.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-48-x7zcft.dcm
512,49,416,*fl3d2,51,-739.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-49-x7zcfu.dcm
512,50,416,*fl3d2,51,-734.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-50-x7zcfv.dcm
512,51,416,*fl3d2,51,-729.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-51-x7zcfw.dcm
512,52,416,*fl3d2,51,-724.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-52-x7zcfx.dcm
512,53,416,*fl3d2,51,-719.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-53-x7zcgj.dcm
512,54,416,*fl3d2,51,-714.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-54-x7zcgk.dcm
512,55,416,*fl3d2,51,-709.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-55-x7zcgl.dcm
512,56,416,*fl3d2,51,-704.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-56-x7zcgm.dcm
512,57,416,*fl3d2,51,-699.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-57-x7zcgn.dcm
512,58,416,*fl3d2,51,-694.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-58-x7zcgo.dcm
512,59,416,*fl3d2,51,-689.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-59-x7zcgp.dcm
512,60,416,*fl3d2,51,-684.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-60-x7zcgq.dcm
512,61,416,*fl3d2,51,-679.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-61-x7zcgr.dcm
512,62,416,*fl3d2,51,-674.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-62-x7zcgs.dcm
512,63,416,*fl3d2,51,-669.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-63-x7zche.dcm
512,64,416,*fl3d2,51,-664.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-64-x7zchf.dcm
